RK,NAME,TM,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Luis Arraez,MIA,2B,147,574,71,203,0.354,30,3,10,69,269,35,34,3,0.393,0.469,0.861,4.9
2,Ronald Acuna Jr.,ATL,RF,159,643,149,217,0.337,35,4,41,106,383,80,84,73,0.416,0.596,1.012,8.1
3,Freddie Freeman,LAD,1B,161,637,131,211,0.331,59,2,29,102,361,72,121,23,0.41,0.567,0.976,6.6
4,Yandy Diaz,TB,1B,137,525,95,173,0.33,35,0,22,78,274,65,94,0,0.41,0.522,0.932,5.2
5,Corey Seager,TEX,SS,119,477,88,156,0.327,42,0,33,96,297,49,88,2,0.39,0.623,1.013,6.9
6,Cody Bellinger,CHC,CF,130,499,95,153,0.307,29,1,26,97,262,40,87,20,0.356,0.525,0.881,4.4
7,Mookie Betts,LAD,SS,152,584,126,179,0.307,40,1,39,107,338,96,107,14,0.408,0.579,0.987,8.4
8,Bo Bichette,TOR,SS,135,571,69,175,0.306,30,3,20,73,271,27,115,5,0.339,0.475,0.814,4.8
9,Shohei Ohtani,LAA,DH,135,497,102,151,0.304,26,8,44,95,325,91,143,20,0.412,0.654,1.066,6
10,Bryce Harper,PHI,1B,126,457,84,134,0.293,29,1,21,72,228,80,119,11,0.401,0.499,0.9,3.7
11,Michael Harris II,IIATL,CF,138,505,76,148,0.293,33,3,18,57,241,25,101,20,0.331,0.477,0.808,3.4
12,William Contreras,MIL,C,141,540,86,156,0.289,38,1,17,78,247,63,126,6,0.367,0.457,0.825,3.7
13,Masataka Yoshida,BOS,LF,140,537,71,155,0.289,33,3,15,72,239,34,81,8,0.338,0.445,0.783,1.4
14,Seiya Suzuki,CHC,RF,138,515,75,147,0.285,31,6,20,74,250,59,130,6,0.357,0.485,0.842,2.7
15,Xander Bogaerts,SD,2B,155,596,83,170,0.285,31,2,19,58,262,56,110,19,0.35,0.44,0.79,4.4
16,Corbin Carroll,ARI,CF,155,565,116,161,0.285,30,10,25,76,286,57,125,54,0.362,0.506,0.868,5.4
17,Kyle Tucker,HOU,RF,157,574,97,163,0.284,37,5,29,112,297,80,92,30,0.369,0.517,0.886,5.4
18,Matt Olson,ATL,1B,162,608,127,172,0.283,27,3,54,139,367,104,167,1,0.389,0.604,0.993,7.4
19,Nico Hoerner,CHC,2B,150,619,98,175,0.283,27,4,9,68,237,49,83,43,0.346,0.383,0.729,5
20,Jose Ramirez,CLE,3B,156,611,87,172,0.282,36,5,24,80,290,73,73,28,0.356,0.475,0.831,5.1
21,Austin Riley,ATL,3B,159,636,117,179,0.281,32,3,37,97,328,59,172,3,0.345,0.516,0.861,5.9
22,Bryson Stott,PHI,2B,151,585,78,164,0.28,32,2,15,62,245,39,100,31,0.329,0.419,0.747,4.4
23,Ozzie Albies,ATL,2B,148,596,96,167,0.28,30,5,33,109,306,46,107,13,0.336,0.513,0.849,4.7
24,TJ Friedl,CIN,CF,138,488,73,136,0.279,22,8,18,66,228,47,90,27,0.352,0.467,0.819,3.8
25,Christian Yelich,MIL,LF,144,550,106,153,0.278,34,1,19,76,246,78,140,28,0.37,0.447,0.818,3.6
26,Adley Rutschman,BAL,C,154,588,84,163,0.277,31,1,20,80,256,92,101,1,0.374,0.435,0.809,4.3
27,Bobby Witt Jr.,KC,SS,158,641,97,177,0.276,28,11,30,96,317,40,121,49,0.319,0.495,0.813,4.4
28,Marcus Semien,TEX,2B,162,670,122,185,0.276,40,4,29,100,320,72,110,14,0.348,0.478,0.826,7.4
29,Justin Turner,BOS,1B,146,558,86,154,0.276,31,0,23,96,254,51,110,4,0.345,0.455,0.8,2.1
30,Ketel Marte,ARI,2B,150,569,94,157,0.276,26,9,25,82,276,71,109,8,0.358,0.485,0.844,4.9
31,Julio Rodriguez,SEA,CF,155,654,102,180,0.275,37,2,32,103,317,47,175,37,0.333,0.485,0.818,5.3
32,Austin Hays,BAL,LF,144,520,76,143,0.275,36,2,16,67,231,38,141,5,0.325,0.444,0.769,2.6
33,Joey Meneses,WSH,1B,154,611,71,168,0.275,36,1,13,89,245,38,130,0,0.321,0.401,0.722,0.5
34,Juan Soto,SD,RF,162,568,97,156,0.275,32,1,35,109,295,132,129,12,0.41,0.519,0.93,5.6
35,Alec Bohm,PHI,3B,145,558,74,153,0.274,31,0,20,97,244,42,94,4,0.327,0.437,0.765,0.5
36,Brandon Nimmo,NYM,LF,152,592,89,162,0.274,30,6,24,68,276,74,146,3,0.363,0.466,0.829,4
