Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
1,Mickey Mantle,NYY,AL,1956,336,24,100%,11.2,150,533,132,188,52,130,10,112,0.353,0.464,0.705,1.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Yogi Berra,NYY,AL,1956,186,0,55%,6.2,140,521,93,155,30,105,3,65,0.298,0.378,0.534,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Al Kaline,DET,AL,1956,142,0,42%,6.5,153,617,96,194,27,128,7,70,0.314,0.383,0.53,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Harvey Kuenn,DET,AL,1956,80,0,24%,4.6,146,591,96,196,12,88,9,55,0.332,0.387,0.47,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Billy Pierce,CHW,AL,1956,75,0,22%,4.6,39,102,6,16,0,3,0,3,0.157,0.189,0.157,0.346,20,9,3.32,1.306,35,33,1,276.1,261,24,100,192
6,Ted Williams,BOS,AL,1956,70,0,21%,6.1,136,400,71,138,24,82,0,102,0.345,0.479,0.605,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gil McDougald,NYY,AL,1956,55,0,16%,5.1,120,438,79,136,13,56,3,68,0.311,0.405,0.443,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bob Nieman,TOT,AL,1956,55,0,16%,4.2,128,428,63,137,14,68,1,90,0.32,0.436,0.495,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Vic Wertz,CLE,AL,1956,45,0,13%,2.2,136,481,65,127,32,106,0,75,0.264,0.364,0.509,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Mickey Mantle,NYY,AL,1957,233,6,69%,11.3,144,474,121,173,34,94,16,146,0.365,0.512,0.665,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ted Williams,BOS,AL,1957,209,5,62%,9.7,132,420,96,163,38,87,0,119,0.388,0.526,0.731,1.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Roy Sievers,WSH,AL,1957,205,4,61%,4.6,152,572,99,172,42,114,1,76,0.301,0.388,0.579,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Nellie Fox,CHW,AL,1957,193,5,57%,7.9,155,619,110,196,6,61,5,75,0.317,0.403,0.415,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Gil McDougald,NYY,AL,1957,165,4,49%,5.8,141,539,87,156,13,62,2,59,0.289,0.362,0.442,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Vic Wertz,CLE,AL,1957,61,0,18%,2.6,144,515,84,145,28,105,2,78,0.282,0.371,0.485,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Frank Malzone,BOS,AL,1957,58,0,17%,3.5,153,634,82,185,15,103,2,31,0.292,0.323,0.427,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Minnie Miñoso,CHW,AL,1957,55,0,16%,5.4,153,568,96,176,12,103,18,79,0.31,0.408,0.454,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Jim Bunning,DET,AL,1957,46,0,14%,7,45,94,10,20,1,4,0,5,0.213,0.253,0.287,0.54,20,8,2.69,1.07,45,30,1,267.1,214,33,72,182
1,Jackie Jensen,BOS,AL,1958,233,9,69%,4.9,154,548,83,157,35,122,9,99,0.286,0.396,0.535,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
