"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"1",1,"Mickey Mantle","NYY","AL",1956,336,24,1,11.2,150,533,132,188,52,130,10,112,0.353,0.464,0.705,1.169,1
"2",2,"Yogi Berra","NYY","AL",1956,186,0,0.55,6.2,140,521,93,155,30,105,3,65,0.298,0.378,0.534,0.911,0
"3",3,"Al Kaline","DET","AL",1956,142,0,0.42,6.5,153,617,96,194,27,128,7,70,0.314,0.383,0.53,0.913,0
"4",4,"Harvey Kuenn","DET","AL",1956,80,0,0.24,4.6,146,591,96,196,12,88,9,55,0.332,0.387,0.47,0.857,0
"5",6,"Ted Williams","BOS","AL",1956,70,0,0.21,6.1,136,400,71,138,24,82,0,102,0.345,0.479,0.605,1.084,0
"6",7,"Gil McDougald","NYY","AL",1956,55,0,0.16,5.1,120,438,79,136,13,56,3,68,0.311,0.405,0.443,0.848,0
"7",7,"Bob Nieman","TOT","AL",1956,55,0,0.16,4.2,128,428,63,137,14,68,1,90,0.32,0.436,0.495,0.931,0
"8",9,"Vic Wertz","CLE","AL",1956,45,0,0.13,2.2,136,481,65,127,32,106,0,75,0.264,0.364,0.509,0.874,0
"9",1,"Mickey Mantle","NYY","AL",1957,233,6,0.69,11.3,144,474,121,173,34,94,16,146,0.365,0.512,0.665,1.177,1
"10",2,"Ted Williams","BOS","AL",1957,209,5,0.62,9.7,132,420,96,163,38,87,0,119,0.388,0.526,0.731,1.257,0
"11",3,"Roy Sievers","WSH","AL",1957,205,4,0.61,4.6,152,572,99,172,42,114,1,76,0.301,0.388,0.579,0.967,0
"12",4,"Nellie Fox","CHW","AL",1957,193,5,0.57,7.9,155,619,110,196,6,61,5,75,0.317,0.403,0.415,0.818,0
"13",5,"Gil McDougald","NYY","AL",1957,165,4,0.49,5.8,141,539,87,156,13,62,2,59,0.289,0.362,0.442,0.804,0
"14",6,"Vic Wertz","CLE","AL",1957,61,0,0.18,2.6,144,515,84,145,28,105,2,78,0.282,0.371,0.485,0.857,0
"15",7,"Frank Malzone","BOS","AL",1957,58,0,0.17,3.5,153,634,82,185,15,103,2,31,0.292,0.323,0.427,0.751,0
"16",8,"Minnie Miñoso","CHW","AL",1957,55,0,0.16,5.4,153,568,96,176,12,103,18,79,0.31,0.408,0.454,0.862,0
"17",1,"Jackie Jensen","BOS","AL",1958,233,9,0.69,4.9,154,548,83,157,35,122,9,99,0.286,0.396,0.535,0.931,1
"18",3,"Rocky Colavito","CLE","AL",1958,181,4,0.54,6,143,489,80,148,41,113,0,84,0.303,0.405,0.62,1.024,0
"19",4,"Bob Cerv","KCA","AL",1958,164,3,0.49,6.4,141,515,93,157,38,104,3,50,0.305,0.371,0.592,0.963,0
"20",5,"Mickey Mantle","NYY","AL",1958,127,0,0.38,8.7,150,519,127,158,42,97,18,129,0.304,0.443,0.592,1.035,0
"21",6,"Roy Sievers","WSH","AL",1958,95,0,0.28,3.6,148,550,85,162,39,108,3,53,0.295,0.357,0.544,0.9,0
"22",7,"Ted Williams","BOS","AL",1958,89,0,0.26,4,129,411,81,135,26,85,1,98,0.328,0.458,0.584,1.042,0
"23",8,"Nellie Fox","CHW","AL",1958,88,1,0.26,3.9,155,623,82,187,0,49,5,47,0.3,0.357,0.353,0.71,0
"24",9,"Sherm Lollar","CHW","AL",1958,57,0,0.17,3.7,127,421,53,115,20,84,2,57,0.273,0.367,0.454,0.821,0
"25",1,"Nellie Fox","CHW","AL",1959,295,16,0.88,6.1,156,624,84,191,2,70,5,71,0.306,0.38,0.389,0.77,1
"26",2,"Luis Aparicio","CHW","AL",1959,255,8,0.76,3.3,152,612,98,157,6,51,56,53,0.257,0.316,0.332,0.647,0
"27",4,"Rocky Colavito","CLE","AL",1959,117,0,0.35,5.4,154,588,90,151,42,111,3,71,0.257,0.337,0.512,0.849,0
"28",5,"Tito Francona","CLE","AL",1959,102,0,0.3,4.8,122,399,68,145,20,79,2,35,0.363,0.414,0.566,0.98,0
"29",6,"Al Kaline","DET","AL",1959,84,0,0.25,5.9,136,511,85,167,27,94,10,72,0.327,0.41,0.53,0.94,0
"30",7,"Jim Landis","CHW","AL",1959,66,0,0.2,5.7,149,515,78,140,5,60,20,78,0.272,0.37,0.379,0.749,0
"31",8,"Harvey Kuenn","DET","AL",1959,64,0,0.19,4.3,139,561,99,198,9,71,7,48,0.353,0.402,0.501,0.903,0
"32",9,"Sherm Lollar","CHW","AL",1959,44,0,0.13,3.4,140,505,63,134,22,84,4,55,0.265,0.345,0.451,0.796,0
"33",1,"Roger Maris","NYY","AL",1960,225,8,0.67,7.5,136,499,98,141,39,112,2,70,0.283,0.371,0.581,0.952,1
"34",2,"Mickey Mantle","NYY","AL",1960,222,10,0.66,6.4,153,527,119,145,40,94,14,111,0.275,0.399,0.558,0.957,0
