Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Winners
1,Rollie Fingers,MIL,AL,1981,319,15,81%,4.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,1.04,0.872,47,0,28,78,55,3,13,61,1
1,Dennis Eckersley,OAK,AL,1992,306,15,78%,2.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,7,1,1.91,0.913,69,0,51,80,62,5,11,93,1
1,Shohei Ohtani,LAA,AL,2021,420,30,100%,8.9,155,537,103,138,46,100,26,96,0.257,0.372,0.592,0.965,9,2,3.18,1.09,23,23,0,130.1,98,15,44,156,1
1,Willie Hernández,DET,AL,1984,306,16,78%,4.8,2,0,0,0,0,0,0,0,NA,NA,NA,NA,9,3,1.92,0.941,80,0,32,140.1,96,6,36,112,1
1,Clayton Kershaw,LAD,NL,2014,355,18,85%,8.2,26,63,5,11,0,3,1,4,0.175,0.235,0.206,0.442,21,3,1.77,0.857,27,27,0,198.1,139,9,31,239,1
1,Justin Verlander,DET,AL,2011,280,13,71%,8.6,1,4,0,0,0,0,0,0,0,0,0,0,24,5,2.4,0.92,34,34,0,251,174,24,57,250,1
1,Roger Clemens,BOS,AL,1986,339,19,86%,8.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,4,2.48,0.969,33,33,0,254,179,21,67,238,1
1,Don Newcombe,BRO,NL,1956,223,8,66%,5.3,52,111,13,26,2,16,1,12,0.234,0.312,0.342,0.654,27,7,3.06,0.989,38,36,0,268,219,33,46,139,1
1,Bob Gibson,STL,NL,1968,242,14,86%,11.9,35,94,3,16,0,6,1,7,0.17,0.233,0.223,0.456,22,9,1.12,0.853,34,34,0,304.2,198,11,62,268,1
1,Sandy Koufax,LAD,NL,1963,237,14,85%,9.9,40,110,3,7,1,7,0,6,0.064,0.111,0.091,0.202,25,5,1.88,0.875,40,40,0,311,214,18,58,306,1
1,Vida Blue,OAK,AL,1971,268,14,80%,8.5,39,102,6,12,0,2,0,4,0.118,0.167,0.127,0.294,24,8,1.82,0.952,39,39,0,312,209,19,88,301,1
1,Denny McLain,DET,AL,1968,280,20,100%,7.4,44,111,7,18,0,4,0,1,0.162,0.17,0.189,0.359,31,6,1.96,0.905,41,41,0,336,241,31,63,280,1
1,Mickey Mantle,NYY,AL,1956,336,24,100%,11.2,150,533,132,188,52,130,10,112,0.353,0.464,0.705,1.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Henry Aaron,MLN,NL,1957,239,9,71%,8,151,615,118,198,44,132,1,57,0.322,0.378,0.6,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Mickey Mantle,NYY,AL,1957,233,6,69%,11.3,144,474,121,173,34,94,16,146,0.365,0.512,0.665,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Ernie Banks,CHC,NL,1958,283,16,84%,9.3,154,617,119,193,47,129,4,52,0.313,0.366,0.614,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Jackie Jensen,BOS,AL,1958,233,9,69%,4.9,154,548,83,157,35,122,9,99,0.286,0.396,0.535,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Ernie Banks,CHC,NL,1959,232,10,69%,10.2,155,589,97,179,45,143,2,64,0.304,0.374,0.596,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Nellie Fox,CHW,AL,1959,295,16,88%,6.1,156,624,84,191,2,70,5,71,0.306,0.38,0.389,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Dick Groat,PIT,NL,1960,276,16,82%,6.1,138,573,85,186,2,50,0,39,0.325,0.371,0.394,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Roger Maris,NYY,AL,1960,225,8,67%,7.5,136,499,98,141,39,112,2,70,0.283,0.371,0.581,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Frank Robinson,CIN,NL,1961,219,15,98%,7.7,153,545,117,176,37,124,22,71,0.323,0.404,0.611,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Roger Maris,NYY,AL,1961,202,7,72%,6.9,161,590,132,159,61,141,0,94,0.269,0.372,0.62,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Maury Wills,LAD,NL,1962,209,8,75%,6,165,695,130,208,6,48,104,51,0.299,0.347,0.373,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Mickey Mantle,NYY,AL,1962,234,13,84%,6,123,377,96,121,30,89,9,122,0.321,0.486,0.605,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Elston Howard,NYY,AL,1963,248,15,89%,5.2,135,487,75,140,28,85,0,35,0.287,0.342,0.528,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Ken Boyer,STL,NL,1964,243,14,87%,6.1,162,628,100,185,24,119,3,70,0.295,0.365,0.489,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,Brooks Robinson,BAL,AL,1964,269,18,96%,8.1,163,612,82,194,28,118,1,51,0.317,0.368,0.521,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
