Rank,Name,Tm,League,Year,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Don Newcombe,BRO,NL,1956,223,8,66%,5.3,52,111,13,26,2,16,1,12,0.234,0.312,0.342,0.654,27,7,3.06,0.989,38,36,0,268,219,33,46,139
2,Sal Maglie,BRO,NL,1956,183,4,54%,4.3,28,70,1,9,0,2,0,1,0.129,0.141,0.129,0.269,13,5,2.87,1.079,28,26,0,191,154,21,52,108
3,Henry Aaron,MLN,NL,1956,146,0,43%,7.2,153,609,106,200,26,92,2,37,0.328,0.365,0.558,0.923,,,,,,,,,,,,
4,Warren Spahn,MLN,NL,1956,126,1,38%,6,39,105,8,22,3,10,1,4,0.21,0.239,0.324,0.562,20,11,2.78,1.07,39,35,3,281.1,249,25,52,128
5,Jim Gilliam,BRO,NL,1956,103,4,31%,6.2,153,594,102,178,6,43,21,95,0.3,0.399,0.396,0.794,,,,,,,,,,,,
6,Roy McMillan,CIN,NL,1956,96,3,29%,4.4,150,479,51,126,3,62,4,76,0.263,0.366,0.344,0.71,,,,,,,,,,,,
7,Frank Robinson,CIN,NL,1956,79,0,24%,6.5,152,572,122,166,38,83,8,64,0.29,0.379,0.558,0.936,,,,,,,,,,,,
8,Pee Wee Reese,BRO,NL,1956,71,3,21%,2.6,147,572,85,147,9,46,13,56,0.257,0.322,0.344,0.667,,,,,,,,,,,,
9,Stan Musial,STL,NL,1956,62,0,18%,5.5,156,594,87,184,27,109,2,75,0.31,0.386,0.522,0.908,,,,,,,,,,,,
1,Henry Aaron,MLN,NL,1957,239,9,71%,8,151,615,118,198,44,132,1,57,0.322,0.378,0.6,0.978,,,,,,,,,,,,
2,Stan Musial,STL,NL,1957,230,5,68%,6.1,134,502,82,176,29,102,1,66,0.351,0.422,0.612,1.034,,,,,,,,,,,,
3,Red Schoendienst,TOT,NL,1957,221,8,66%,5.7,150,648,91,200,15,65,4,33,0.309,0.344,0.451,0.795,,,,,,,,,,,,
4,Willie Mays,NYG,NL,1957,174,1,52%,8.3,152,585,112,195,35,97,38,76,0.333,0.407,0.626,1.033,,,,,,,,,,,,
5,Warren Spahn,MLN,NL,1957,131,1,39%,4.7,39,94,3,13,2,8,0,4,0.138,0.17,0.245,0.415,21,11,2.69,1.177,39,35,3,271,241,23,78,111
6,Ernie Banks,CHC,NL,1957,60,0,18%,6.7,156,594,113,169,43,102,8,70,0.285,0.36,0.579,0.939,,,,,,,,,,,,
7,Gil Hodges,BRO,NL,1957,54,0,16%,4.3,150,579,94,173,27,98,5,63,0.299,0.366,0.511,0.877,,,,,,,,,,,,
8,Eddie Mathews,MLN,NL,1957,45,0,13%,7.4,148,572,109,167,32,94,3,90,0.292,0.387,0.54,0.927,,,,,,,,,,,,
9,Frank Robinson,CIN,NL,1957,42,0,13%,6.9,150,611,97,197,29,75,10,44,0.322,0.376,0.529,0.905,,,,,,,,,,,,
1,Ernie Banks,CHC,NL,1958,283,16,84%,9.3,154,617,119,193,47,129,4,52,0.313,0.366,0.614,0.98,,,,,,,,,,,,
2,Willie Mays,SFG,NL,1958,185,3,55%,10.2,152,600,121,208,29,96,31,78,0.347,0.419,0.583,1.002,,,,,,,,,,,,
3,Henry Aaron,MLN,NL,1958,166,0,49%,7.3,153,601,109,196,30,95,4,59,0.326,0.386,0.546,0.931,,,,,,,,,,,,
4,Frank Thomas,PIT,NL,1958,143,2,43%,3,149,562,89,158,35,109,0,42,0.281,0.334,0.528,0.863,,,,,,,,,,,,
5,Warren Spahn,MLN,NL,1958,108,1,32%,5.9,41,108,10,36,2,15,0,7,0.333,0.381,0.463,0.844,22,11,3.07,1.148,38,36,1,290,257,29,76,150
6,Bob Friend,PIT,NL,1958,98,0,29%,1.8,38,94,3,10,0,6,0,4,0.106,0.141,0.128,0.269,22,14,3.68,1.314,38,38,0,274,299,25,61,135
7,Richie Ashburn,PHI,NL,1958,62,0,18%,7,152,615,98,215,2,33,30,97,0.35,0.44,0.441,0.881,,,,,,,,,,,,
8,Bill Mazeroski,PIT,NL,1958,61,1,18%,4.8,152,567,69,156,19,68,1,25,0.275,0.308,0.439,0.747,,,,,,,,,,,,
9,Orlando Cepeda,SFG,NL,1958,57,0,17%,3,148,603,88,188,25,96,15,29,0.312,0.342,0.512,0.854,,,,,,,,,,,,
1,Ernie Banks,CHC,NL,1959,232,10,69%,10.2,155,589,97,179,45,143,2,64,0.304,0.374,0.596,0.97,,,,,,,,,,,,
2,Eddie Mathews,MLN,NL,1959,189,5,56%,8.2,148,594,118,182,46,114,2,80,0.306,0.39,0.593,0.983,,,,,,,,,,,,
3,Henry Aaron,MLN,NL,1959,174,2,52%,8.6,154,629,116,223,39,123,8,51,0.355,0.401,0.636,1.037,,,,,,,,,,,,
4,Wally Moon,LAD,NL,1959,161,4,48%,5.5,145,543,93,164,19,74,15,81,0.302,0.394,0.495,0.89,,,,,,,,,,,,
5,Sam Jones,SFG,NL,1959,130,0,39%,5.2,50,85,3,11,0,8,0,3,0.129,0.157,0.141,0.298,21,15,2.83,1.26,50,35,5,270.2,232,18,109,209
